,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
-1,-2,-6,-12,0,1,20,-53,,,17.8045654296875,-7.90771484375,-12.109405517578125,-0.666961669921875
5,8,3,25,-1,11,-7,-3,,,35.0972900390625,-20.1781005859375,-21.359886169433594,-2.0993499755859375
3,27,-7,76,,,-26,90,,,22.728713989257812,-27.120101928710938,-2.7756576538085938,-3.87359619140625
-1,-13,2,-2,,,-13,12,,,9.59429931640625,-21.303375244140625,27.2694091796875,-4.781494140625
1,-23,1,1,8,-94,-12,8,,,4.4953460693359375,-12.584228515625,26.657745361328125,-6.2838134765625
5.0,-11.0,2.0,0.0,5.0,-39.0,-278.0,-82.0,45.0,-58.0,-2.3356170654296875,4.0697784423828125,1.73675537109375,-9.189498901367188
6,-6,4,1,23,9,,,20,-8,-16.107086181640625,26.392333984375,-3.5793304443359375,-20.288772583007812
6,1,11,2,2,31,,,-2,31,-26.058441162109375,28.484359741210938,-5.790771484375,-12.815460205078125
6,-1,27,-21,8,23,,,1,22,-23.070571899414062,15.381317138671875,-5.126800537109375,17.168960571289062
6,-14,16,-62,13,16,,,2,10,-16.252883911132812,10.835250854492188,-3.6117401123046875,28.934280395507812
1.0,-15.0,2.0,-57.0,-4.0,-20.0,34.0,-37.0,2.0,-1.0,-5.729400634765625,3.863922119140625,-1.427337646484375,13.890716552734375
15.0,23.0,7.0,23.0,15.0,38.0,50.0,-18.0,4.0,33.0,23.41082763671875,-10.672927856445312,-15.771835327148438,-0.92401123046875
14.0,23.0,15.0,37.0,17.0,21.0,9.0,29.0,8.0,11.0,34.154327392578125,-21.047195434570312,-20.014053344726562,-2.2841796875
1.0,-6.0,1.0,0.0,4.0,-8.0,0.0,2.0,-4.0,-7.0,17.742660522460938,-23.115386962890625,-0.5535049438476562,-3.373748779296875
-17,-13,-16,-12,-18,-16,-20,-12,,,10.58892822265625,-23.7760009765625,31.50489044189453,-5.5239105224609375
-26,-13,-25,-15,-28,-18,-28,-15,,,3.631866455078125,-10.334915161132812,22.432815551757812,-5.4956817626953125
